distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
2.733539;-15.18022395;7.33805881;-12.81531821;-23.38814312;-44.04562647;-13.17528089858059;-7.499898543117075;-13.474891095039132;-23.370447028302337;-30.870345571419413
2.933539;-13.74640913;3.80910731;-11.18422816;-18.62584517;-39.74737515;-12.842565685740517;-6.7693122901909675;-12.128321994850099;-20.13549717406852;-26.904809464259486
3.133539;-12.83910988;1.95744292;-9.883737;-14.97213297;-35.73753692;-12.499925201694056;-6.132349029969426;-10.960231838323843;-17.105262688336516;-23.237611718305942
3.333539;-12.21886076;0.99288963;-8.81142417;-12.13999589;-32.1773912;-12.153456230132445;-5.572902297053269;-9.938357052167587;-14.45103267281429;-20.023934969867557
3.533539;-11.75326105;0.49490411;-7.90527618;-9.92879889;-29.09243201;-11.806829940130436;-5.078557883801666;-9.038504650584878;-12.207044186067897;-17.28560206986956
3.733539;-11.36921212;0.24086237;-7.12569516;-8.18949646;-26.44354137;-11.462368070268733;-4.639539000341777;-8.241887860002812;-10.341634299389488;-14.981173299731266
3.933539;-11.02700676;0.11347692;-6.44633644;-6.80582499;-24.16569128;-11.121623425751185;-4.247993089018949;-7.533522691648046;-8.796074765229868;-13.044067854248816
4.133539;-10.70362207;0.05110156;-5.8490423;-5.69758715;-22.19914996;-10.785694346397277;-3.897504951887877;-6.901214565831133;-7.515950661714847;-11.413455613602723
4.333539;-10.38828591;0.02153334;-5.32057165;-4.80252493;-20.48984915;-10.455396042434495;-3.5827583826095797;-6.334885804374324;-6.451694724955926;-10.034453107565506
4.533539;-10.07668903;0.00813194;-4.85080399;-4.07377675;-18.99313784;-10.131354931946143;-3.299295701062267;-5.826108815859446;-5.562487206991589;-8.861782908053856
4.733539;-9.7678772;0.00243679;-4.43166424;-3.47584884;-17.67295349;-9.814061652443565;-3.043342706313173;-5.367769240408955;-4.815549131243264;-7.8588918375564365
4.933539;-9.46253921;0.00024764;-4.05652384;-2.98167272;-16.50048814;-9.503901976232688;-2.8116781815593823;-4.953814962674979;-4.184907982207931;-6.996586163767313
5.133539;-9.16188905;-0.00045018;-3.71980832;-2.57044897;-15.45259652;-9.201175957971412;-2.6015344222261434;-4.579064220214246;-3.649886139802445;-6.2514205620285885
5.333539;-8.86711842;-0.00057586;-3.41679005;-2.2260697;-14.51055402;-8.906110823317526;-2.410519881704324;-4.239055840881336;-3.1939233149781505;-5.604443196682475
5.533539;-8.57918081;-0.00051882;-3.1434296;-1.93595987;-13.65908911;-8.618870504818807;-2.23655795958008;-3.9299304122831415;-2.8036606456011133;-5.0402186051811935
5.733539;-8.29871548;-0.00042575;-2.89627656;-1.69022447;-12.88564226;-8.339563333633874;-2.0778378363334884;-3.6483347192550064;-2.4682410900326364;-4.546078926366125
5.933539;-8.02613386;-0.00034114;-2.67235987;-1.48101672;-12.17985159;-8.068248652595138;-1.9327744825943438;-3.3913440352108566;-2.178828454810519;-4.111602937404863
6.133539;-7.76162115;-0.00027222;-2.4691108;-1.30206657;-11.53307075;-7.804942727180488;-1.7999757834139096;-3.1563983390716315;-1.9281522394056028;-3.7281280228195124
6.333539;-7.50522466;-0.00021612;-2.28430181;-1.14832776;-10.93807035;-7.549624132345415;-1.678215268235862;-2.9412495430037184;-1.7102309494187231;-3.388446217654585
6.533539;-7.25685136;-0.00016937;-2.11598655;-1.0157109;-10.38871818;-7.302238695691662;-1.5664093179340768;-2.7439175271913014;-1.5200701663742613;-3.086479484308338
6.733539;-7.00617597;-0.00012951;-1.96249311;-0.90096292;-9.86976152;-7.0627040327552;-1.4635979893551503;-2.562653288732833;-1.3434594978896501;-2.8070574872448004
6.933539;-6.77574732;-0.00010171;-1.82223314;-0.80115398;-9.39923615;-6.830913692241146;-1.3689287919729278;-2.395907886415042;-1.1993936657859263;-2.568322457758854
